CurTime,logDuration,countdownTimer,timesinceMovement,timePresent,personPresent
15:00:50,2:3:1,00:04:34,0.436576986666667,121.266666666667,1
15:01:50,2:4:1,00:03:35,1.43372669166667,122.25,1
15:02:50,2:5:2,00:04:59,0.00573390666666667,123.25,1
15:03:50,2:6:2,00:04:44,0.266493313333333,124.233333333333,1
15:04:50,2:7:2,00:03:45,1.26362635,125.216666666667,1
15:05:50,2:8:2,00:05:00,0.000783411666666667,126.2,1
15:06:50,2:9:2,00:04:18,0.69736973,127.183333333333,1
15:07:50,2:10:2,00:05:00,0.0114344766666667,128.166666666667,1
15:08:50,2:11:2,00:05:00,0.00206687333333333,129.166666666667,1
15:09:50,2:12:2,00:04:55,0.0704737133333333,130.15,1
15:10:50,2:13:2,00:04:52,0.128429508333333,131.133333333333,1
15:11:50,2:14:2,00:04:51,0.15181101,132.116666666667,1
15:12:50,2:15:1,00:04:16,0.7359324,133.1,1
15:13:50,2:16:1,00:03:16,1.747955895,134.1,1
15:14:50,2:17:1,00:02:17,2.7431115,135.083333333333,1
15:15:50,2:18:1,00:04:57,0.05033751,136.066666666667,1
15:16:50,2:19:1,00:04:45,0.25044964,137.05,1
15:17:50,2:20:1,00:04:54,0.08809711,138.033333333333,1
15:18:50,2:21:1,00:04:49,0.172279903333333,139.033333333333,1
15:19:50,2:22:1,00:04:56,0.06391163,140.016666666667,1
15:20:50,2:23:1,00:04:59,0.00336464666666667,141,1
15:21:50,2:24:1,00:04:35,0.41486701,141.983333333333,1
15:22:50,2:25:1,00:05:00,0.00388255666666667,142.966666666667,1
15:23:50,2:26:1,00:04:56,0.0618709566666667,143.95,1
15:24:50,2:27:1,00:04:59,0.00364927,144.95,1
15:25:50,2:28:1,00:04:59,0.00959808,145.933333333333,1
15:26:50,2:29:1,00:04:37,0.373333333333333,146.916666666667,1
15:27:50,2:30:1,00:03:38,1.37038333333333,147.9,1
15:28:50,2:31:1,00:05:00,0.0868333333333333,148.883333333333,1
15:29:50,2:32:1,00:04:30,0.505933333333333,149.883333333333,1
15:30:50,2:33:1,00:03:31,1.50298333333333,150.866666666667,1
15:31:50,2:34:1,00:02:32,2.50003333333333,151.85,1
15:32:50,2:35:1,00:01:33,3.4971,152.833333333333,1
15:33:50,2:36:1,00:04:23,0.61795,153.816666666667,1
15:34:50,2:37:1,00:04:58,0.0208,154.8,1
15:35:50,2:38:1,00:04:50,0.15705,155.8,1
15:36:50,2:39:1,00:04:51,0.137816666666667,156.783333333333,1
15:37:50,2:40:1,00:03:52,1.13488333333333,157.766666666667,1
15:38:50,2:41:1,00:02:53,2.13191666666667,158.75,1
15:39:50,2:42:1,00:01:54,3.12896666666667,159.733333333333,1
15:40:50,2:43:1,00:04:19,0.683783333333333,160.733333333333,1
15:41:50,2:44:1,00:04:52,0.12405,161.716666666667,1
15:42:50,2:45:1,00:03:53,1.12106666666667,162.7,1
15:43:50,2:46:1,00:02:54,2.11811666666667,163.683333333333,1
15:44:50,2:47:1,00:04:42,0.302883333333333,164.666666666667,1
15:45:50,2:48:1,00:04:59,0.00548333333333333,165.666666666667,1
15:46:50,2:49:1,00:04:39,0.352533333333333,166.65,1
15:47:50,2:50:1,00:04:56,0.05795,167.633333333333,1
15:48:50,2:51:1,00:04:16,0.729516666666667,168.616666666667,1
15:49:50,2:52:1,00:03:17,1.72656666666667,169.6,1
15:50:50,2:53:1,00:02:18,2.72361666666667,170.583333333333,1
15:51:50,2:54:1,00:01:18,3.73758333333333,171.583333333333,1
15:52:50,2:55:1,00:00:19,4.7346,172.566666666667,1
15:53:50,2:56:1,00:00:00,5.73165,172.866666666667,0
15:54:50,2:57:1,00:00:00,6.7287,172.866666666667,0
15:55:50,2:58:1,00:00:00,7.72575,172.866666666667,0
15:56:50,2:59:1,00:00:00,8.7397,172.866666666667,0
15:57:50,3:0:1,00:00:00,9.73675,172.866666666667,0
15:58:50,3:1:1,00:00:00,10.7338,172.866666666667,0
15:59:50,3:2:1,00:00:00,11.73085,172.866666666667,0
16:00:50,3:3:1,00:00:00,12.7279,172.866666666667,0
16:01:50,3:4:1,00:05:00,0.00208333333333333,173.666666666667,1
16:02:50,3:5:1,00:05:00,0.00416666666666667,174.666666666667,1
16:03:50,3:6:1,00:04:36,0.3918,175.65,1
16:04:50,3:7:1,00:05:00,0.000516666666666667,176.633333333333,1
