CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:34:54,0:1:1,0.45,0.01,1.02,1
18:34:55,0:1:2,0.45,0.01,1.02,1
18:34:55,0:1:2,0.44,0.01,1.03,1
18:34:56,0:1:3,0.44,0.01,1.03,1
18:34:56,0:1:3,0.44,0.01,1.05,1
18:34:57,0:1:4,0.44,0.01,1.05,1
18:34:57,0:1:4,0.44,0.01,1.07,1
18:34:58,0:1:5,0.44,0.01,1.07,1
18:34:58,0:1:5,0.44,0.01,1.08,1
18:34:59,0:1:6,0.44,0.01,1.08,1
18:34:59,0:1:6,0.44,0.01,1.1,1
18:35:00,0:1:7,0.44,0.01,1.1,1
18:35:00,0:1:7,0.43,0.01,1.1,1
18:35:01,0:1:8,0.43,0.0,1.12,1
18:35:01,0:1:8,0.43,0.0,1.12,1
18:35:02,0:1:9,0.43,0.0,1.13,1
18:35:02,0:1:9,0.43,0.0,1.13,1
18:35:03,0:1:10,0.43,0.0,1.15,1
18:35:03,0:1:10,0.42,0.0,1.15,1
18:35:04,0:1:11,0.42,0.0,1.17,1
18:35:04,0:1:11,0.42,0.0,1.17,1
18:35:05,0:1:12,0.42,0.0,1.18,1
18:35:05,0:1:12,0.42,0.0,1.18,1
18:35:06,0:1:13,0.42,0.0,1.2,1
18:35:06,0:1:13,0.42,0.0,1.2,1
18:35:07,0:1:14,0.42,0.0,1.22,1
18:35:07,0:1:14,0.42,0.0,1.22,1
18:35:08,0:1:15,0.42,0.0,1.23,1
18:35:08,0:1:15,0.41,0.0,1.23,1
18:35:09,0:1:16,0.41,0.0,1.25,1
18:35:09,0:1:16,0.41,0.0,1.25,1
18:35:10,0:1:17,0.41,0.0,1.27,1
18:35:10,0:1:17,0.41,0.0,1.27,1
18:35:11,0:1:18,0.41,0.0,1.28,1
18:35:11,0:1:18,0.41,0.0,1.28,1
18:35:12,0:1:19,0.41,0.0,1.3,1
18:35:12,0:1:19,0.41,0.0,1.3,1
18:35:13,0:1:20,0.4,0.0,1.32,1
18:35:13,0:1:20,0.4,0.0,1.32,1
18:35:14,0:1:21,0.4,0.01,1.33,1
18:35:14,0:1:21,0.4,0.01,1.33,1
18:35:14,0:1:22,0.4,0.01,1.35,1
18:35:15,0:1:22,0.4,0.01,1.35,1
18:35:15,0:1:23,0.4,0.01,1.37,1
18:35:16,0:1:23,0.4,0.01,1.37,1
18:35:16,0:1:24,0.4,0.01,1.38,1
18:35:17,0:1:24,0.4,0.01,1.38,1
18:35:17,0:1:25,0.4,0.01,1.4,1
18:35:18,0:1:25,0.39,0.01,1.4,1
18:35:18,0:1:26,0.39,0.01,1.42,1
18:35:19,0:1:26,0.39,0.01,1.42,1
18:35:19,0:1:27,0.39,0.01,1.43,1
18:35:20,0:1:27,0.39,0.01,1.43,1
18:35:20,0:1:28,0.39,0.01,1.45,1
18:35:21,0:1:28,0.39,0.01,1.45,1
18:35:21,0:1:29,0.39,0.01,1.47,1
